ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1	資	资	tsɿ55	tsɿ55	zy1	1994年謝建猷《南寧白話同音字彙》P288		
2	姿	姿	tsɿ55	tsɿ55	zy1	1994年謝建猷《南寧白話同音字彙》P288		
3	咨	咨	tsɿ55	tsɿ55	zy1	1994年謝建猷《南寧白話同音字彙》P288		
4	茲	兹	tsɿ55	tsɿ55	zy1	1994年謝建猷《南寧白話同音字彙》P288		
5	滋	滋	tsɿ55	tsɿ55	zy1	1994年謝建猷《南寧白話同音字彙》P288		
6	紫	紫	tsɿ35	tsɿ35	zy2	1994年謝建猷《南寧白話同音字彙》P288		
7	姊	姊	tsɿ35	tsɿ35	zy2	1994年謝建猷《南寧白話同音字彙》P288		
8	子	子	tsɿ35	tsɿ35	zy2	1994年謝建猷《南寧白話同音字彙》P288		
9	梓	梓	tsɿ35	tsɿ35	zy2	1994年謝建猷《南寧白話同音字彙》P288		
10	自	自	tsɿ22	tsɿ22	zy6	1994年謝建猷《南寧白話同音字彙》P288		
11	字	字	tsɿ22	tsɿ22	zy6	1994年謝建猷《南寧白話同音字彙》P288		
12	牸	牸	tsɿ22	tsɿ22	zy6	1994年謝建猷《南寧白話同音字彙》P288	～牛	
13	寺	寺	tsɿ22	tsɿ22	zy6	1994年謝建猷《南寧白話同音字彙》P288		
14	疵	疵	tsʰɿ55	tsʰɿ55	cy1	1994年謝建猷《南寧白話同音字彙》P288		
15	瓷	瓷	tsʰɿ21	tsʰɿ21	cy4	1994年謝建猷《南寧白話同音字彙》P288		
16	餈	糍	tsʰɿ21	tsʰɿ21	cy4	1994年謝建猷《南寧白話同音字彙》P288	～粑	又作「糍」字
17	慈	慈	tsʰɿ21	tsʰɿ21	cy4	1994年謝建猷《南寧白話同音字彙》P288		
18	磁	磁	tsʰɿ21	tsʰɿ21	cy4	1994年謝建猷《南寧白話同音字彙》P288		
19	辭	辞	tsʰɿ21	tsʰɿ21	cy4	1994年謝建猷《南寧白話同音字彙》P288		
20	祠	祠	tsʰɿ21	tsʰɿ21	cy4	1994年謝建猷《南寧白話同音字彙》P288		
21	詞	词	tsʰɿ21	tsʰɿ21	cy4	1994年謝建猷《南寧白話同音字彙》P288		
