ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1	播	播	po55	po55	bo3	1998年陳謨志總纂《南寧市誌·文化卷》P661		
2	嗎	吗	ma33	ma33	maa2	1998年陳謨志總纂《南寧市誌·文化卷》P661		
3	柯	柯	kʰo53	kʰo53	ko1	1998年陳謨志總纂《南寧市誌·文化卷》P661		
4	枯	枯	hu53	hu53	hu1	1998年陳謨志總纂《南寧市誌·文化卷》P663		
5	枯	枯	kʰu53	kʰu53	ku1	1998年陳謨志總纂《南寧市誌·文化卷》P663		
6	玉	玉	ȵy22	ȵy22	njyu6	1998年陳謨志總纂《南寧市誌·文化卷》P663	玉米	
7	喲	哟	jo53	jo53	jo1	1998年陳謨志總纂《南寧市誌·文化卷》P662		
8	夜	夜	je22	je22	je6	1998年陳謨志總纂《南寧市誌·文化卷》P662		
9	戶	户	wu22	wu22	wu6	1998年陳謨志總纂《南寧市誌·文化卷》P663		
10	哦	哦	∅o21	∅o21	o4	1998年陳謨志總纂《南寧市誌·文化卷》P662		
11	烏	乌	ʔu53	∅u53	u1	1998年陳謨志總纂《南寧市誌·文化卷》P663		
12	巴	巴	ma53	ma53	maa1	1998年陳謨志總纂《南寧市誌·文化卷》P662	摟，抱	原文有音無字
13	𪐀	𪐀	na53	na53	naa1	1998年陳謨志總纂《南寧市誌·文化卷》P662	粘，貼	原文有音無字
14	㗇	㗇	kʰa53	kʰa53	kaa1	1998年陳謨志總纂《南寧市誌·文化卷》P662	欺負	原文有音無字
15	椏	桠	ŋa53	ŋa53	ngaa1	1998年陳謨志總纂《南寧市誌·文化卷》P662	分叉的樹枝叫枒杈	原文有音無字。「椏杈」又作「枒杈」
16	枒	枒	ŋa53	ŋa53	ngaa1	1998年陳謨志總纂《南寧市誌·文化卷》P662	分叉的樹枝叫枒杈	原文有音無字。「枒杈」又作「椏杈」
17	查	查	ɬa21	ɬa21	slaa4	1998年陳謨志總纂《南寧市誌·文化卷》P662	麻[ma21]～：黃昏	原文有音無字
18	呀	呀	ja21	ja21	jaa4	1998年陳謨志總纂《南寧市誌·文化卷》P662	呀，語氣詞	原文有音無字
19	𠜴	𠜴	kʷʰa33	kʷʰa33	kwaa2	1998年陳謨志總纂《南寧市誌·文化卷》P662	～草(割草)	原文有音無字
20	舵	舵	ta24	ta24	daa5	1998年陳謨志總纂《南寧市誌·文化卷》P662	舵	原文有音無字
21	揦	揦	la24	la24	laa5	1998年陳謨志總纂《南寧市誌·文化卷》P662	撮起，蒐集成堆捧起	原文有音無字
