ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1	多	多	tɔ55	tɔ55	do1	2009年陳海倫、林亦《粵語平話土話方音字彙》P2		
2	拖	拖	tʰɔ55	tʰɔ55	to1	2009年陳海倫、林亦《粵語平話土話方音字彙》P2		
3	他	他	tʰa55	tʰa55	taa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P2		
4	駝	驼	tʰɔ21	tʰɔ21	to4	2009年陳海倫、林亦《粵語平話土話方音字彙》P2		
5	馱	驮	tʰɔ21	tʰɔ21	to4	2009年陳海倫、林亦《粵語平話土話方音字彙》P2，4	馱起；馱子	
6	舵	舵	tʰɔ24	tʰɔ24	to5	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
7	舵	舵	tʰai24	tʰai24	taai5	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
8	舦	舦	tʰai24	tʰai24	taai5	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		原文作「舵」字
9	大	大	tai22	tai22	daai6	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
10	挪	挪	nɔ21	nɔ21	no4	2009年陳海倫、林亦《粵語平話土話方音字彙》P2		
11	哪	哪	na24	na24	naa5	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
12	那	那	na24	na24	naa5	2009年陳海倫、林亦《粵語平話土話方音字彙》P5	那邊	
13	羅	罗	lɔ21	lɔ21	lo4	2009年陳海倫、林亦《粵語平話土話方音字彙》P3		
14	鑼	锣	lɔ21	lɔ21	lo4	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
15	籮	箩	lɔ21	lɔ21	lo4	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
16	左	左	tsɔ35	tʃɔ35	zo2	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
17	佐	佐	tsɔ35	tʃɔ35	zo2	2009年陳海倫、林亦《粵語平話土話方音字彙》P5		
18	搓	搓	tsʰɔ55	tʃʰɔ55	co1	2009年陳海倫、林亦《粵語平話土話方音字彙》P2		
19	歌	歌	kɔ55	kɔ55	go1	2009年陳海倫、林亦《粵語平話土話方音字彙》P2		
20	哥	哥	kɔ55	kɔ55	go1	2009年陳海倫、林亦《粵語平話土話方音字彙》P2		
21	個	个	kɔ33	kɔ33	go3	2009年陳海倫、林亦《粵語平話土話方音字彙》P5		
22	可	可	hɔ35	hɔ35	ho2	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
23	蛾	蛾	ŋɔ21	ŋɔ21	ngo4	2009年陳海倫、林亦《粵語平話土話方音字彙》P3		
24	鵝	鹅	ŋɔ21	ŋɔ21	ngo4	2009年陳海倫、林亦《粵語平話土話方音字彙》P3		
25	俄	俄	ŋɔ21	ŋɔ21	ngo4	2009年陳海倫、林亦《粵語平話土話方音字彙》P3		
26	我	我	ŋɔ24	ŋɔ24	ngo5	2009年陳海倫、林亦《粵語平話土話方音字彙》P4		
27	餓	饿	ŋɔ22	ŋɔ22	ngo6	2009年陳海倫、林亦《粵語平話土話方音字彙》P5		
28	荷	荷	hɔ21	hɔ21	ho4	2009年陳海倫、林亦《粵語平話土話方音字彙》P3，5	荷花；薄荷	
29	何	何	hɔ21	hɔ21	ho4	2009年陳海倫、林亦《粵語平話土話方音字彙》P3		
30	河	河	hɔ21	hɔ21	ho4	2009年陳海倫、林亦《粵語平話土話方音字彙》P3		
31	賀	贺	hɔ22	hɔ22	ho6	2009年陳海倫、林亦《粵語平話土話方音字彙》P5		
32	阿	阿	∅ɔ55	∅ɔ55	o1	2009年陳海倫、林亦《粵語平話土話方音字彙》P3		
33	茄	茄	kʰɛ21	kʰɛ21	ke4	2009年陳海倫、林亦《粵語平話土話方音字彙》P5		
34	波	波	pɔ55	pɔ55	bo1	2009年陳海倫、林亦《粵語平話土話方音字彙》P5		
35	菠	菠	pɔ55	pɔ55	bo1	2009年陳海倫、林亦《粵語平話土話方音字彙》P5		
36	跛	跛	pɐi55	pɐi55	bai1	2009年陳海倫、林亦《粵語平話土話方音字彙》P9		
37	簸	簸	pɔ33	pɔ33	bo3	2009年陳海倫、林亦《粵語平話土話方音字彙》P9，11	簸米；簸箕	
38	簸	簸	pʰɔ33	pʰɔ33	po3	2009年陳海倫、林亦《粵語平話土話方音字彙》P9	簸米	
39	頗	颇	pʰɔ55	pʰɔ55	po1	2009年陳海倫、林亦《粵語平話土話方音字彙》P6		
40	坡	坡	pʰɔ55	pʰɔ55	po1	2009年陳海倫、林亦《粵語平話土話方音字彙》P6	土坡	
